ch,keV,net,fit,model,continuum_raw,Lu-176,Esc-NaI
53,8.755,0.422,0.422,0.360,0.332,0.326,0.034
54,9.097,0.000,-2.420,0.389,0.340,0.334,0.054
55,9.439,0.054,0.054,0.431,0.349,0.344,0.087
56,9.782,1.268,1.268,0.491,0.360,0.354,0.137
57,10.124,14.800,14.800,0.579,0.372,0.366,0.214
58,10.466,40.968,40.968,0.704,0.385,0.379,0.325
59,10.808,69.244,69.244,0.878,0.400,0.393,0.484
60,11.151,137.420,137.420,1.114,0.416,0.409,0.705
61,11.493,232.128,232.128,1.429,0.433,0.426,1.003
62,11.835,241.629,241.629,1.837,0.452,0.444,1.393
63,12.177,328.648,328.648,2.355,0.472,0.464,1.891
64,12.520,405.563,405.563,6.355,3.854,3.789,2.566
65,12.862,479.791,479.791,10.486,7.237,7.115,3.371
66,13.204,544.016,544.016,14.752,10.621,10.442,4.310
67,13.547,612.494,612.494,19.152,14.006,13.770,5.382
68,13.889,675.295,675.295,23.678,17.391,17.098,6.579
69,14.231,684.821,684.821,28.316,20.778,20.428,7.888
70,14.574,707.992,707.992,33.049,24.165,23.758,9.291
71,14.916,741.512,741.512,37.854,27.553,27.089,10.765
72,15.258,791.891,791.891,42.708,30.941,30.420,12.287
73,15.601,824.200,824.200,47.586,34.329,33.751,13.835
74,15.943,749.693,749.693,52.467,37.715,37.081,15.386
75,16.285,924.265,924.265,57.333,41.100,40.409,16.923
76,16.628,835.905,835.905,62.168,44.483,43.736,18.433
77,16.970,892.219,892.219,66.965,47.863,47.059,19.906
78,17.312,871.013,871.013,71.719,51.238,50.379,21.341
79,17.655,1005.119,1005.119,76.433,54.610,53.694,22.739
80,17.997,920.867,920.867,81.115,57.976,57.004,24.111
81,18.339,1079.800,1079.800,85.777,61.336,60.309,25.468
82,18.682,1148.926,1148.926,90.438,64.691,63.609,26.829
83,19.024,1076.347,1076.347,95.119,68.040,66.904,28.215
84,19.366,1094.314,1094.314,99.846,71.385,70.193,29.652
85,19.709,1121.366,1121.366,104.645,74.724,73.479,31.166
86,20.051,1101.800,1101.800,109.545,78.060,76.761,32.783
87,20.394,939.127,939.127,114.573,81.392,80.041,34.531
88,20.736,974.653,974.653,119.755,84.722,83.321,36.434
89,21.078,938.458,938.458,125.112,88.051,86.601,38.512
90,21.421,927.138,927.138,130.662,91.380,89.884,40.778
91,21.763,942.834,942.834,136.414,94.709,93.172,43.241
92,22.106,866.106,866.106,142.367,98.040,96.469,45.898
93,22.448,794.105,794.105,148.512,101.373,99.778,48.734
94,22.791,825.632,825.632,154.828,104.708,103.105,51.723
95,23.133,700.055,700.055,161.282,108.046,106.458,54.824
96,23.475,768.217,768.217,167.830,111.387,109.845,57.985
97,23.818,657.208,657.208,174.419,114.731,113.282,61.137
98,24.160,679.051,679.051,180.988,118.077,116.784,64.203
99,24.503,661.891,661.891,187.475,121.426,120.377,67.098
100,24.845,633.216,633.216,193.820,124.777,124.091,69.728
101,25.188,617.366,617.366,199.970,128.130,127.966,72.004
102,25.530,595.832,595.832,205.886,131.484,132.049,73.837
103,25.873,657.826,657.826,211.552,134.839,136.403,75.149
104,26.215,630.409,630.409,216.974,138.194,141.099,75.876
105,26.558,635.409,635.409,222.193,141.550,146.222,75.971
106,26.900,609.662,609.662,227.281,144.905,151.871,75.410
107,27.243,618.200,618.200,232.345,148.260,158.155,74.190
108,27.585,628.027,628.027,237.527,151.614,165.195,72.332
109,27.928,668.242,668.242,242.997,154.967,173.118,69.880
110,28.270,650.342,650.342,248.949,158.319,182.052,66.897
111,28.613,594.239,594.239,255.591,161.670,192.126,63.465
112,28.955,640.602,640.602,263.135,165.020,203.458,59.677
113,29.298,602.667,602.667,271.785,168.368,216.152,55.633
114,29.640,557.507,557.507,281.727,171.716,230.290,51.437
115,29.983,592.090,592.090,293.114,175.062,245.925,47.189
116,30.325,474.290,474.290,306.057,178.407,263.074,42.984
117,30.668,505.667,505.667,320.622,181.751,281.716,38.905
118,31.010,617.236,617.236,336.816,185.095,301.791,35.025
119,31.353,570.919,570.919,354.595,188.438,323.196,31.399
120,31.695,581.664,581.664,373.859,191.781,345.789,28.069
121,32.038,551.926,551.926,394.462,195.124,369.400,25.063
122,32.381,502.609,502.609,416.223,198.467,393.831,22.392
123,32.723,430.089,430.089,438.933,201.810,418.872,20.061
124,33.066,519.182,519.182,462.373,205.154,444.314,18.059
125,33.408,470.973,470.973,486.328,208.498,469.957,16.371
126,33.751,469.079,469.079,510.601,211.844,495.626,14.975
127,34.094,523.556,523.556,529.056,209.215,515.300,13.755
128,34.436,503.345,503.345,547.548,206.588,534.771,12.777
129,34.779,533.409,533.409,566.016,203.962,554.003,12.014
130,35.121,443.989,443.989,584.462,201.337,573.021,11.441
131,35.464,532.889,532.889,602.952,198.714,591.918,11.034
132,35.807,530.832,530.832,621.626,196.091,610.853,10.773
133,36.149,536.889,536.889,640.692,193.470,630.052,10.640
134,36.492,505.111,505.111,660.426,190.850,649.805,10.621
135,36.834,589.311,589.311,681.167,188.231,670.465,10.703
136,37.177,551.738,551.738,703.317,185.612,692.439,10.878
137,37.520,588.645,588.645,727.332,182.995,716.191,11.141
138,37.862,499.231,499.231,753.719,180.378,742.229,11.489
139,38.205,572.590,572.590,783.029,177.762,771.107,11.922
140,38.548,550.813,550.813,815.854,175.146,803.413,12.442
141,38.890,637.707,637.707,852.821,172.530,839.769,13.053
142,39.233,639.082,639.082,894.581,169.915,880.821,13.760
143,39.576,586.244,586.244,941.802,167.301,927.230,14.572
144,39.918,634.198,634.198,995.162,164.686,979.665,15.497
145,40.261,678.781,678.781,1055.330,162.072,1038.787,16.543
146,40.604,630.258,630.258,1122.957,159.457,1105.236,17.721
147,40.946,772.520,772.520,1198.654,156.843,1179.614,19.040
148,41.289,696.483,696.483,1282.975,154.229,1262.465,20.510
149,41.632,699.536,699.536,1376.392,151.615,1354.251,22.141
150,41.975,694.544,694.544,1479.274,149.000,1455.333,23.941
151,42.317,788.452,788.452,1591.859,146.386,1565.943,25.917
152,42.660,799.563,799.563,1714.235,143.772,1686.160,28.075
153,43.003,848.399,848.399,1846.310,141.158,1815.889,30.421
154,43.345,876.984,876.984,1987.794,138.544,1954.836,32.958
155,43.688,889.095,889.095,2138.179,135.930,2102.490,35.689
156,44.031,861.055,861.055,2296.728,133.316,2258.113,38.615
157,44.374,979.743,979.743,2462.466,130.702,2420.727,41.738
158,44.716,1173.593,1173.593,2634.176,128.088,2589.115,45.060
159,45.059,1108.805,1108.805,2810.409,125.474,2761.826,48.584
160,45.402,1063.824,1063.824,2989.498,122.860,2937.186,52.312
161,45.745,1191.407,1191.407,3169.577,120.246,3113.326,56.251
162,46.087,1342.577,1342.577,3348.615,117.632,3288.205,60.410
163,46.430,1528.361,1528.361,3524.456,115.018,3459.654,64.802
164,46.773,1684.745,1684.745,3694.862,112.404,3625.419,69.443
165,47.116,1793.802,1793.802,3857.566,109.790,3783.213,74.353
166,47.458,1892.758,1892.758,4010.329,107.176,3930.772,79.557
167,47.801,2091.504,2091.504,4150.999,104.562,4065.918,85.081
168,48.144,2381.979,2381.979,4277.568,101.948,4186.613,90.955
169,48.487,2438.564,2438.564,4388.233,99.334,4291.025,97.208
170,48.830,2876.255,2876.255,4481.447,96.720,4377.578,103.869
171,49.172,3055.905,3055.905,4555.967,94.105,4445.005,110.962
172,49.515,3145.073,3145.073,4610.890,91.491,4492.384,118.506
173,49.858,3272.339,3272.339,4645.682,88.877,4519.174,126.508
174,50.201,3729.506,3729.506,4660.197,86.263,4525.231,134.966
175,50.544,3703.409,3703.409,4654.672,83.649,4510.812,143.859
176,50.887,4051.635,4051.635,4629.723,81.035,4476.571,153.153
177,51.229,4242.899,4242.899,4586.321,78.421,4423.532,162.789
178,51.572,4281.864,4281.864,4525.752,75.807,4353.062,172.690
179,51.915,4295.300,4295.300,4449.576,73.193,4266.818,182.757
180,52.258,4481.719,4481.719,4359.567,70.579,4166.697,192.870
181,52.601,4701.098,4701.098,4257.658,67.965,4054.770,202.888
182,52.944,4402.693,4402.693,4145.871,65.351,3933.218,212.654
183,53.287,4400.292,4400.292,4026.256,62.737,3804.258,221.998
184,53.629,4359.762,4359.762,3900.824,60.123,3670.084,230.740
185,53.972,4219.360,4219.360,3771.494,57.509,3532.796,238.698
186,54.315,4106.626,4106.626,3640.038,54.895,3394.345,245.693
187,54.658,3840.120,3840.120,3508.044,52.281,3256.489,251.555
188,55.001,3712.762,3712.762,3376.879,49.667,3120.752,256.127
189,55.344,3642.182,3642.182,3247.675,47.053,2988.397,259.278
190,55.687,3396.827,3396.827,3121.318,44.439,2860.417,260.901
191,56.030,3130.531,3130.531,2998.449,41.825,2737.529,260.920
192,56.373,2952.797,2952.797,2879.478,39.211,2620.183,259.295
193,56.715,2802.057,2802.057,2764.605,36.597,2508.583,256.022
194,57.058,2682.285,2682.285,2653.847,33.983,2402.710,251.136
195,57.401,2523.130,2523.130,2547.070,31.368,2302.363,244.707
196,57.744,2459.407,2459.407,2444.026,28.754,2207.187,236.839
197,58.087,2349.166,2349.166,2344.387,26.140,2116.720,227.666
198,58.430,2131.960,2131.960,2247.783,23.526,2030.432,217.351
199,58.773,2105.344,2105.344,2153.831,20.912,1947.758,206.073
200,59.116,2132.393,2132.393,2062.168,18.298,1868.139,194.029
201,59.459,2021.038,2021.038,1972.471,15.684,1791.050,181.421
202,59.802,1957.580,1957.580,1884.477,13.070,1716.023,168.454
203,60.145,1909.949,1909.949,1797.997,10.456,1642.669,155.327
204,60.488,1940.645,1940.645,1712.919,7.842,1570.687,142.232
205,60.831,1858.727,1858.727,1629.213,5.228,1499.872,129.342
206,61.174,1851.292,1851.292,1546.926,2.614,1430.113,116.813
207,61.517,1783.426,1783.426,1466.175,0.000,1361.394,104.781
208,61.860,1837.046,1837.046,1394.024,4.276,1300.588,93.437
209,62.203,1714.956,1714.956,1323.807,8.553,1241.020,82.787
210,62.546,1616.070,1616.070,1255.775,12.829,1182.882,72.894
211,62.889,1691.551,1691.551,1190.201,17.106,1126.403,63.798
212,63.232,1513.651,1513.651,1127.358,21.382,1071.839,55.518
213,63.575,1462.887,1462.887,1067.509,25.659,1019.454,48.055
214,63.918,1292.743,1292.743,1010.896,29.935,969.505,41.392
215,64.261,1385.784,1385.784,957.729,34.212,922.232,35.497
216,64.604,1244.651,1244.651,908.178,38.488,877.847,30.331
217,64.947,1075.288,1075.288,862.369,42.765,836.525,25.844
218,65.290,999.021,999.021,820.379,47.041,798.398,21.981
219,65.633,920.667,920.667,782.238,51.318,763.554,18.684
220,65.976,852.639,852.639,747.928,55.594,732.034,15.895
221,66.319,916.670,916.670,717.388,59.871,703.833,13.555
222,66.662,756.558,756.558,690.514,64.147,678.905,11.610
223,67.005,649.127,649.127,667.171,68.423,657.166,10.005
224,67.348,757.008,757.008,647.191,72.700,638.498,8.692
225,67.691,620.658,620.658,630.386,76.976,622.758,7.627
226,68.034,583.086,583.086,616.551,81.253,609.781,6.771
227,68.378,590.173,590.173,605.472,85.529,599.386,6.086
228,68.721,595.694,595.694,596.930,89.806,591.386,5.544
229,69.064,537.073,537.073,590.708,94.082,585.589,5.118
230,69.407,549.071,549.071,586.594,98.359,581.809,4.785
231,69.750,482.333,482.333,584.387,102.635,579.861,4.526
232,70.093,639.225,639.225,583.899,106.912,579.573,4.326
233,70.436,499.363,499.363,584.959,111.188,580.787,4.171
234,70.779,566.295,566.295,587.410,115.465,583.358,4.052
235,71.122,536.838,536.838,591.115,119.741,587.156,3.959
236,71.466,534.203,534.203,595.958,124.018,592.072,3.886
237,71.809,674.791,674.791,601.837,128.294,598.011,3.827
238,72.152,621.919,621.919,608.672,132.571,604.894,3.778
239,72.495,528.017,528.017,616.397,136.847,612.661,3.737
240,72.838,618.347,618.347,624.963,141.123,621.263,3.700
241,73.181,553.388,553.388,634.334,145.400,630.668,3.665
242,73.524,575.295,575.295,644.485,149.676,640.852,3.633
243,73.868,635.084,635.084,655.403,153.953,651.802,3.601
244,74.211,597.250,597.250,667.080,158.229,663.511,3.570
245,74.554,490.407,490.407,679.516,162.506,675.978,3.538
246,74.897,569.517,569.517,692.713,166.782,689.207,3.506
247,75.240,670.247,670.247,706.671,171.059,703.197,3.474
248,75.583,591.738,591.738,721.393,175.335,717.951,3.442
249,75.927,590.426,590.426,736.876,179.612,733.465,3.411
250,76.270,673.685,673.685,753.109,183.888,749.729,3.380
251,76.613,614.212,614.212,770.077,188.165,766.726,3.351
252,76.956,584.165,584.165,787.751,192.441,784.428,3.322
253,77.299,541.418,541.418,806.092,196.718,802.796,3.296
254,77.643,543.065,543.065,825.049,200.994,821.777,3.272
255,77.986,663.854,663.854,844.555,205.270,841.304,3.251
256,78.329,739.496,739.496,864.529,209.547,861.295,3.233
257,78.672,767.131,767.131,884.873,213.823,881.654,3.219
258,79.016,682.967,682.967,905.476,218.100,902.268,3.208
259,79.359,606.559,606.559,926.210,222.376,923.009,3.202
260,79.702,626.084,626.084,946.936,226.653,943.736,3.200
261,80.045,771.738,771.738,967.498,230.929,964.295,3.203
262,80.389,712.171,712.171,987.734,235.206,984.523,3.210
263,80.732,724.330,724.330,1007.470,239.482,1004.247,3.223
264,81.075,683.347,683.347,1026.530,243.759,1023.289,3.240
265,81.418,794.550,794.550,1044.732,248.035,1041.469,3.263
266,81.762,754.607,754.607,1061.899,252.312,1058.607,3.292
267,82.105,814.816,814.816,1077.854,256.588,1074.528,3.326
268,82.448,922.819,922.819,1092.431,260.865,1089.066,3.365
269,82.792,887.171,887.171,1105.476,265.141,1102.066,3.410
270,83.135,911.135,911.135,1116.847,269.417,1113.387,3.461
271,83.478,997.100,997.100,1126.424,273.694,1122.907,3.517
272,83.821,1069.349,1069.349,1134.106,277.970,1130.527,3.579
273,84.165,999.040,999.040,1139.817,282.247,1136.170,3.646
274,84.508,938.884,938.884,1143.505,286.523,1139.786,3.720
275,84.851,1120.780,1120.780,1145.149,290.800,1141.350,3.799
276,85.195,1061.759,1061.759,1144.751,295.076,1140.867,3.884
277,85.538,1075.409,1075.409,1142.345,299.353,1138.371,3.975
278,85.881,1103.580,1103.580,1137.993,303.629,1133.921,4.071
279,86.225,1215.092,1215.092,1131.780,307.906,1127.606,4.174
280,86.568,1120.878,1120.878,1123.818,312.182,1119.537,4.282
281,86.911,1048.095,1048.095,1114.243,316.459,1109.848,4.396
282,87.255,1159.461,1159.461,1103.209,320.735,1098.693,4.516
283,87.598,1343.306,1343.306,1090.885,325.012,1086.244,4.641
284,87.941,1314.249,1314.249,1077.457,329.288,1072.684,4.772
285,88.285,1249.956,1249.956,1063.116,333.565,1058.206,4.909
286,88.628,1114.046,1114.046,1048.061,337.841,1043.009,5.052
287,88.972,1216.678,1216.678,1032.492,342.117,1027.293,5.199
288,89.315,1235.835,1235.835,1016.608,346.394,1011.256,5.352
289,89.658,1232.461,1232.461,1000.601,350.670,995.091,5.509
290,90.002,1344.853,1344.853,984.655,354.947,978.984,5.672
291,90.345,1150.881,1150.881,968.945,359.223,963.106,5.839
292,90.689,1224.550,1224.550,953.629,363.500,947.619,6.010
293,91.032,1235.304,1235.304,938.851,367.776,932.666,6.184
294,91.375,1093.989,1093.989,924.738,372.053,918.375,6.363
295,91.719,1153.076,1153.076,911.400,376.329,904.856,6.544
296,92.062,1057.152,1057.152,898.927,380.606,892.198,6.729
297,92.406,1038.618,1038.618,887.392,384.882,880.476,6.915
298,92.749,911.569,911.569,876.849,389.159,869.745,7.104
299,93.092,840.090,840.090,867.336,393.435,860.041,7.295
300,93.436,941.908,941.908,858.875,397.712,851.388,7.487
301,93.779,872.277,872.277,851.471,401.988,843.791,7.680
302,94.123,834.872,834.872,845.118,406.264,837.244,7.874
303,94.466,845.078,845.078,839.797,410.541,831.729,8.068
304,94.810,804.540,804.540,835.480,414.817,827.218,8.262
305,95.153,719.827,719.827,832.131,419.094,823.674,8.456
306,95.497,681.659,681.659,829.705,423.370,821.055,8.650
307,95.840,696.897,696.897,828.154,427.647,819.312,8.842
308,96.184,613.499,613.499,827.427,431.923,818.393,9.034
309,96.527,720.439,720.439,827.470,436.200,818.246,9.225
310,96.871,642.177,642.177,828.229,440.476,818.815,9.414
311,97.214,682.472,682.472,829.650,444.753,820.047,9.603
312,97.558,789.580,789.580,831.678,449.029,821.889,9.789
313,97.901,697.634,697.634,834.265,453.306,824.290,9.975
314,98.245,674.780,674.780,837.360,457.582,827.202,10.158
315,98.588,680.997,680.997,840.919,461.859,830.579,10.340
316,98.932,742.654,742.654,844.900,466.135,834.379,10.521
317,99.275,769.946,769.946,849.265,470.412,838.565,10.700
318,99.619,829.783,829.783,853.978,474.688,843.100,10.878
319,99.962,599.433,599.433,859.008,478.964,847.954,11.054
320,100.306,762.144,762.144,858.039,476.953,846.885,11.154
321,100.649,661.564,661.564,857.335,474.941,846.082,11.253
322,100.993,803.680,803.680,856.874,472.930,845.523,11.350
323,101.336,835.878,835.878,856.637,470.918,845.191,11.447
324,101.680,752.979,752.979,856.609,468.906,845.068,11.542
325,102.024,690.727,690.727,856.776,466.895,845.141,11.635
326,102.367,685.895,685.895,857.126,464.883,845.398,11.728
327,102.711,642.089,642.089,857.649,462.871,845.830,11.819
328,103.054,846.954,846.954,858.337,460.860,846.427,11.909
329,103.398,675.664,675.664,859.181,458.848,847.183,11.999
330,103.741,634.713,634.713,860.178,456.837,848.091,12.087
331,104.085,676.799,676.799,861.319,454.825,849.146,12.173
332,104.429,736.540,736.540,862.602,452.813,850.343,12.259
333,104.772,790.383,790.383,864.021,450.802,851.677,12.343
334,105.116,805.011,805.011,865.571,448.790,853.145,12.427
335,105.459,816.331,816.331,867.250,446.779,854.742,12.509
336,105.803,772.540,772.540,869.053,444.767,856.464,12.590
337,106.147,847.794,847.794,870.976,442.755,858.307,12.669
338,106.490,927.314,927.314,873.014,440.744,860.266,12.747
339,106.834,749.585,749.585,875.162,438.732,862.339,12.824
340,107.178,871.117,871.117,877.417,436.720,864.518,12.899
341,107.521,936.792,936.792,879.774,434.709,866.801,12.973
342,107.865,923.049,923.049,882.225,432.697,869.180,13.045
343,108.209,836.735,836.735,884.767,430.686,871.652,13.115
344,108.552,785.328,785.328,887.393,428.674,874.209,13.184
345,108.896,879.274,879.274,890.096,426.662,876.845,13.252
346,109.240,983.517,983.517,892.871,424.651,879.554,13.317
347,109.583,1016.235,1016.235,895.710,422.639,882.329,13.381
348,109.927,937.708,937.708,898.607,420.627,885.164,13.443
349,110.271,917.466,917.466,901.553,418.616,888.050,13.503
350,110.614,933.929,933.929,904.542,416.604,890.981,13.561
351,110.958,953.983,953.983,907.567,414.593,893.950,13.617
352,111.302,1062.707,1062.707,910.620,412.581,896.948,13.672
353,111.645,962.883,962.883,913.693,410.569,899.969,13.724
354,111.989,1077.897,1077.897,916.780,408.558,903.005,13.775
355,112.333,1006.539,1006.539,919.873,406.546,906.049,13.824
356,112.676,1024.805,1024.805,922.965,404.534,909.094,13.871
357,113.020,1008.973,1008.973,926.049,402.523,912.133,13.916
358,113.364,1098.588,1098.588,929.119,400.511,915.159,13.960
359,113.708,1004.382,1004.382,932.169,398.500,918.167,14.002
360,114.051,900.643,900.643,935.192,396.488,921.150,14.042
361,114.395,933.428,933.428,938.184,394.476,924.103,14.081
362,114.739,1074.219,1074.219,941.139,392.465,927.021,14.118
363,115.083,987.326,987.326,944.053,390.453,929.899,14.154
364,115.426,998.410,998.410,946.922,388.442,932.734,14.189
365,115.770,1170.597,1170.597,949.743,386.430,935.521,14.222
366,116.114,1042.586,1042.586,952.512,384.418,938.257,14.254
367,116.458,1067.616,1067.616,955.227,382.407,940.941,14.286
368,116.801,1133.025,1133.025,957.886,380.395,943.569,14.317
369,117.145,1089.420,1089.420,960.487,378.383,946.141,14.347
370,117.489,1009.884,1009.884,963.031,376.372,948.655,14.376
371,117.833,965.995,965.995,965.516,374.360,951.111,14.406
372,118.177,970.875,970.875,967.943,372.349,953.508,14.435
373,118.520,853.407,853.407,970.313,370.337,955.849,14.464
374,118.864,1042.285,1042.285,972.626,368.325,958.132,14.493
375,119.208,1046.713,1046.713,974.884,366.314,960.361,14.523
376,119.552,1188.160,1188.160,977.089,364.302,962.536,14.554
377,119.896,1048.117,1048.117,979.244,362.290,964.659,14.585
378,120.239,885.867,885.867,981.351,360.279,966.734,14.617
379,120.583,1033.967,1033.967,983.413,358.267,968.763,14.650
380,120.927,1039.648,1039.648,985.434,356.256,970.749,14.685
381,121.271,998.217,998.217,987.416,354.244,972.695,14.721
382,121.615,1147.697,1147.697,989.363,352.232,974.605,14.758
383,121.959,1021.537,1021.537,991.280,350.221,976.482,14.798
384,122.302,1059.683,1059.683,993.170,348.209,978.331,14.839
385,122.646,968.307,968.307,995.038,346.197,980.155,14.883
386,122.990,976.144,976.144,996.887,344.186,981.957,14.929
387,123.334,975.206,975.206,998.721,342.174,983.743,14.978
388,123.678,920.385,920.385,1000.545,340.163,985.516,15.029
389,124.022,1096.092,1096.092,1002.362,338.151,987.280,15.083
390,124.366,944.609,944.609,1004.177,336.139,989.038,15.139
391,124.710,1004.770,1004.770,1005.994,334.128,990.796,15.199
392,125.053,966.666,966.666,1007.817,332.116,992.556,15.261
393,125.397,1124.960,1124.960,1009.649,330.105,994.323,15.326
394,125.741,1036.613,1036.613,1011.494,328.093,996.099,15.394
395,126.085,1117.383,1117.383,1013.355,326.081,997.889,15.465
396,126.429,1000.230,1000.230,1015.236,324.070,999.696,15.539
397,126.773,1107.230,1107.230,1017.139,322.058,1001.523,15.616
398,127.117,1218.428,1218.428,1019.069,320.046,1003.373,15.695
399,127.461,1121.265,1121.265,1021.026,318.035,1005.249,15.777
400,127.805,1000.415,1000.415,1023.015,316.023,1007.153,15.862
401,128.149,984.815,984.815,1025.036,314.012,1009.088,15.948
402,128.493,1104.837,1104.837,1027.093,312.000,1011.056,16.037
403,128.837,1002.415,1002.415,1029.186,309.988,1013.059,16.127
404,129.181,1201.415,1201.415,1031.317,307.977,1015.098,16.219
405,129.525,1140.781,1140.781,1033.487,305.965,1017.175,16.312
406,129.868,1133.303,1133.303,1035.698,303.953,1019.291,16.406
407,130.212,1097.569,1097.569,1037.949,301.942,1021.448,16.501
408,130.556,1063.794,1063.794,1040.241,299.930,1023.645,16.595
409,130.900,1169.867,1169.867,1042.574,297.919,1025.884,16.690
410,131.244,1282.975,1282.975,1044.948,295.907,1028.164,16.784
411,131.588,1145.453,1145.453,1047.362,293.895,1030.485,16.877
412,131.932,1215.667,1215.667,1049.816,291.884,1032.847,16.968
413,132.276,1089.246,1089.246,1052.308,289.872,1035.250,17.058
414,132.620,1059.826,1059.826,1054.837,287.860,1037.691,17.145
415,132.964,1061.387,1061.387,1057.401,285.849,1040.171,17.230
416,133.308,1205.746,1205.746,1060.000,283.837,1042.688,17.311
417,133.652,1187.650,1187.650,1062.630,281.826,1045.241,17.389
418,133.996,1182.531,1182.531,1065.290,279.814,1047.827,17.463
419,134.340,1186.177,1186.177,1067.977,277.802,1050.445,17.532
420,134.684,1226.217,1226.217,1070.689,275.791,1053.092,17.597
421,135.029,1114.696,1114.696,1073.424,273.779,1055.768,17.657
422,135.373,1368.532,1368.532,1076.179,271.768,1058.468,17.711
423,135.717,1291.052,1291.052,1078.951,269.756,1061.192,17.759
424,136.061,1262.631,1262.631,1081.738,267.744,1063.936,17.802
425,136.405,1255.101,1255.101,1084.536,265.733,1066.698,17.839
426,136.749,1200.162,1200.162,1087.344,263.721,1069.475,17.869
427,137.093,1217.203,1217.203,1090.159,261.709,1072.266,17.893
428,137.437,1404.458,1404.458,1092.977,259.698,1075.066,17.911
429,137.781,1320.456,1320.456,1095.797,257.686,1077.875,17.922
430,138.125,1162.144,1162.144,1098.616,255.675,1080.689,17.927
431,138.469,1297.292,1297.292,1101.431,253.663,1083.505,17.926
432,138.813,1355.881,1355.881,1104.241,251.651,1086.322,17.919
433,139.157,1321.970,1321.970,1107.042,249.640,1089.136,17.906
434,139.501,1403.558,1403.558,1109.834,247.628,1091.946,17.888
435,139.846,1559.482,1559.482,1112.614,245.616,1094.749,17.864
436,140.190,1327.556,1327.556,1115.379,243.605,1097.543,17.836
437,140.534,1402.539,1402.539,1118.129,241.593,1100.325,17.804
438,140.878,1419.526,1419.526,1120.862,239.582,1103.094,17.768
439,141.222,1351.065,1351.065,1123.575,237.570,1105.847,17.728
440,141.566,1327.276,1327.276,1126.268,235.558,1108.581,17.686
441,141.910,1484.380,1484.380,1128.938,233.547,1111.295,17.643
