ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232
4519,1740.113,267.673,267.673,330.075,145.635,5.259,320.970,0.000,3.846,0.000,0.000,0.000,0.000
4520,1740.532,306.138,306.138,329.800,145.487,5.140,320.836,0.000,3.823,0.000,0.000,0.000,0.000
4521,1740.951,294.787,294.787,329.528,145.338,5.024,320.702,0.000,3.801,0.000,0.000,0.000,0.000
4522,1741.371,304.971,304.971,329.260,145.190,4.911,320.569,0.000,3.780,0.000,0.000,0.000,0.000
4523,1741.790,292.307,292.307,328.994,145.042,4.799,320.435,0.000,3.760,0.000,0.000,0.000,0.000
4524,1742.209,299.116,299.116,328.733,144.894,4.690,320.302,0.000,3.741,0.000,0.000,0.000,0.000
4525,1742.628,288.575,288.575,328.474,144.745,4.583,320.169,0.000,3.723,0.000,0.000,0.000,0.000
4526,1743.048,289.649,289.649,328.219,144.597,4.478,320.036,0.000,3.705,0.000,0.000,0.000,0.000
4527,1743.467,292.305,292.305,327.967,144.449,4.375,319.903,0.000,3.689,0.000,0.000,0.000,0.000
4528,1743.886,296.972,296.972,327.718,144.301,4.274,319.770,0.000,3.674,0.000,0.000,0.000,0.000
4529,1744.306,309.299,309.299,327.472,144.152,4.176,319.637,0.000,3.659,0.000,0.000,0.000,0.000
4530,1744.725,329.655,329.655,327.229,144.004,4.079,319.505,0.000,3.645,0.000,0.000,0.000,0.000
4531,1745.144,292.169,292.169,326.989,143.856,3.984,319.372,0.000,3.633,0.000,0.000,0.000,0.000
4532,1745.563,247.621,247.621,326.752,143.708,3.891,319.240,0.000,3.621,0.000,0.000,0.000,0.000
4533,1745.983,282.006,282.006,326.517,143.559,3.800,319.108,0.000,3.609,0.000,0.000,0.000,0.000
4534,1746.402,274.487,274.487,326.286,143.411,3.711,318.976,0.000,3.599,0.000,0.000,0.000,0.000
4535,1746.821,300.212,300.212,326.057,143.263,3.623,318.844,0.000,3.590,0.000,0.000,0.000,0.000
4536,1747.240,264.537,264.537,325.831,143.114,3.538,318.712,0.000,3.581,0.000,0.000,0.000,0.000
4537,1747.659,301.698,301.698,325.608,142.966,3.454,318.581,0.000,3.573,0.000,0.000,0.000,0.000
4538,1748.079,287.882,287.882,325.387,142.818,3.372,318.449,0.000,3.565,0.000,0.000,0.000,0.000
4539,1748.498,238.278,238.278,325.168,142.670,3.292,318.318,0.000,3.559,0.000,0.000,0.000,0.000
4540,1748.917,270.598,270.598,324.953,142.521,3.213,318.187,0.000,3.553,0.000,0.000,0.000,0.000
4541,1749.336,300.032,300.032,324.739,142.373,3.136,318.055,0.000,3.548,0.000,0.000,0.000,0.000
4542,1749.756,270.800,270.800,324.528,142.225,3.061,317.924,0.000,3.543,0.000,0.000,0.000,0.000
4543,1750.175,252.223,252.223,324.320,142.077,2.987,317.793,0.000,3.540,0.000,0.000,0.000,0.000
4544,1750.594,294.411,294.411,324.113,141.928,2.914,317.662,0.000,3.537,0.000,0.000,0.000,0.000
4545,1751.013,323.102,323.102,323.909,141.780,2.844,317.531,0.000,3.534,0.000,0.000,0.000,0.000
4546,1751.432,278.278,278.278,323.707,141.632,2.775,317.400,0.000,3.532,0.000,0.000,0.000,0.000
4547,1751.852,312.435,312.435,323.508,141.483,2.707,317.270,0.000,3.531,0.000,0.000,0.000,0.000
4548,1752.271,316.406,316.406,323.310,141.335,2.641,317.139,0.000,3.530,0.000,0.000,0.000,0.000
4549,1752.690,306.520,306.520,323.115,141.187,2.576,317.009,0.000,3.530,0.000,0.000,0.000,0.000
4550,1753.109,283.574,283.574,322.921,141.039,2.512,316.878,0.000,3.531,0.000,0.000,0.000,0.000
4551,1753.528,274.250,274.250,322.730,140.890,2.450,316.748,0.000,3.532,0.000,0.000,0.000,0.000
4552,1753.948,284.441,284.441,322.540,140.742,2.390,316.617,0.000,3.533,0.000,0.000,0.000,0.000
4553,1754.367,332.991,332.991,322.353,140.594,2.330,316.487,0.000,3.535,0.000,0.000,0.000,0.000
4554,1754.786,304.177,304.177,322.167,140.446,2.272,316.357,0.000,3.538,0.000,0.000,0.000,0.000
4555,1755.205,285.619,285.619,321.984,140.297,2.216,316.227,0.000,3.541,0.000,0.000,0.000,0.000
4556,1755.624,282.695,282.695,321.802,140.149,2.160,316.097,0.000,3.545,0.000,0.000,0.000,0.000
4557,1756.043,269.180,269.180,321.621,140.001,2.106,315.967,0.000,3.549,0.000,0.000,0.000,0.000
4558,1756.463,283.410,283.410,321.443,139.853,2.053,315.837,0.000,3.553,0.000,0.000,0.000,0.000
4559,1756.882,314.222,314.222,321.266,139.704,2.001,315.707,0.000,3.558,0.000,0.000,0.000,0.000
4560,1757.301,295.624,295.624,321.091,139.556,1.950,315.577,0.000,3.564,0.000,0.000,0.000,0.000
4561,1757.720,307.649,307.649,320.918,139.408,1.901,315.447,0.000,3.570,0.000,0.000,0.000,0.000
4562,1758.139,306.690,306.690,320.746,139.259,1.853,315.317,0.000,3.576,0.000,0.000,0.000,0.000
4563,1758.558,266.495,266.495,320.575,139.111,1.805,315.188,0.000,3.582,0.000,0.000,0.000,0.000
4564,1758.977,291.762,291.762,320.407,138.963,1.759,315.058,0.000,3.589,0.000,0.000,0.000,0.000
4565,1759.397,275.680,275.680,320.239,138.815,1.714,314.929,0.000,3.597,0.000,0.000,0.000,0.000
4566,1759.816,331.478,331.478,320.073,138.666,1.670,314.799,0.000,3.605,0.000,0.000,0.000,0.000
4567,1760.235,310.737,310.737,319.909,138.518,1.627,314.670,0.000,3.613,0.000,0.000,0.000,0.000
4568,1760.654,268.746,268.746,319.746,138.370,1.584,314.540,0.000,3.621,0.000,0.000,0.000,0.000
4569,1761.073,314.305,314.305,319.584,138.222,1.543,314.411,0.000,3.630,0.000,0.000,0.000,0.000
4570,1761.492,254.663,254.663,319.424,138.073,1.503,314.281,0.000,3.639,0.000,0.000,0.000,0.000
4571,1761.911,272.197,272.197,319.264,137.925,1.464,314.152,0.000,3.648,0.000,0.000,0.000,0.000
4572,1762.330,324.513,324.513,319.106,137.777,1.426,314.023,0.000,3.658,0.000,0.000,0.000,0.000
4573,1762.750,307.999,307.999,318.950,137.628,1.388,313.893,0.000,3.668,0.000,0.000,0.000,0.000
4574,1763.169,302.581,302.581,318.794,137.480,1.352,313.764,0.000,3.678,0.000,0.000,0.000,0.000
4575,1763.588,309.739,309.739,318.640,137.332,1.316,313.635,0.000,3.689,0.000,0.000,0.000,0.000
4576,1764.007,297.220,297.220,318.487,137.184,1.281,313.506,0.000,3.700,0.000,0.000,0.000,0.000
4577,1764.426,313.798,313.798,318.335,137.035,1.247,313.377,0.000,3.711,0.000,0.000,0.000,0.000
4578,1764.845,303.891,303.891,318.184,136.887,1.214,313.248,0.000,3.722,0.000,0.000,0.000,0.000
4579,1765.264,326.337,326.337,318.033,136.739,1.182,313.119,0.000,3.733,0.000,0.000,0.000,0.000
4580,1765.683,300.155,300.155,317.885,136.591,1.150,312.990,0.000,3.745,0.000,0.000,0.000,0.000
4581,1766.102,302.076,302.076,317.736,136.442,1.119,312.860,0.000,3.757,0.000,0.000,0.000,0.000
4582,1766.521,295.965,295.965,317.589,136.294,1.089,312.732,0.000,3.769,0.000,0.000,0.000,0.000
4583,1766.940,306.851,306.851,317.443,136.146,1.060,312.603,0.000,3.781,0.000,0.000,0.000,0.000
4584,1767.359,314.611,314.611,317.298,135.997,1.031,312.474,0.000,3.793,0.000,0.000,0.000,0.000
4585,1767.778,314.631,314.631,317.154,135.849,1.003,312.345,0.000,3.806,0.000,0.000,0.000,0.000
4586,1768.197,290.559,290.559,317.010,135.701,0.976,312.216,0.000,3.818,0.000,0.000,0.000,0.000
4587,1768.616,305.064,305.064,316.868,135.553,0.949,312.087,0.000,3.831,0.000,0.000,0.000,0.000
4588,1769.035,295.739,295.739,316.726,135.404,0.924,311.958,0.000,3.844,0.000,0.000,0.000,0.000
4589,1769.455,334.567,334.567,316.585,135.256,0.898,311.829,0.000,3.857,0.000,0.000,0.000,0.000
4590,1769.874,321.473,321.473,316.444,135.108,0.874,311.701,0.000,3.870,0.000,0.000,0.000,0.000
4591,1770.293,289.841,289.841,316.305,134.960,0.850,311.572,0.000,3.884,0.000,0.000,0.000,0.000
4592,1770.712,306.618,306.618,316.166,134.811,0.826,311.443,0.000,3.897,0.000,0.000,0.000,0.000
4593,1771.131,339.149,339.149,316.028,134.663,0.803,311.314,0.000,3.910,0.000,0.000,0.000,0.000
4594,1771.550,281.897,281.897,315.890,134.515,0.781,311.185,0.000,3.924,0.000,0.000,0.000,0.000
4595,1771.969,327.597,327.597,315.754,134.367,0.759,311.057,0.000,3.937,0.000,0.000,0.000,0.000
4596,1772.388,341.600,341.600,315.617,134.218,0.738,310.928,0.000,3.951,0.000,0.000,0.000,0.000
4597,1772.807,325.494,325.494,315.482,134.070,0.718,310.799,0.000,3.965,0.000,0.000,0.000,0.000
4598,1773.226,334.029,334.029,315.347,133.922,0.698,310.671,0.000,3.978,0.000,0.000,0.000,0.000
4599,1773.645,340.257,340.257,315.212,133.773,0.678,310.542,0.000,3.992,0.000,0.000,0.000,0.000
4600,1774.063,293.538,293.538,315.078,133.625,0.659,310.413,0.000,4.006,0.000,0.000,0.000,0.000
4601,1774.482,323.976,323.976,314.945,133.477,0.640,310.285,0.000,4.020,0.000,0.000,0.000,0.000
4602,1774.901,369.839,369.839,314.812,133.329,0.622,310.156,0.000,4.033,0.000,0.000,0.000,0.000
4603,1775.320,360.073,360.073,314.679,133.180,0.605,310.027,0.000,4.047,0.000,0.000,0.000,0.000
4604,1775.739,346.738,346.738,314.547,133.032,0.587,309.899,0.000,4.061,0.000,0.000,0.000,0.000
4605,1776.158,317.961,317.961,314.415,132.884,0.571,309.770,0.000,4.075,0.000,0.000,0.000,0.000
4606,1776.577,332.565,332.565,314.284,132.736,0.554,309.642,0.000,4.088,0.000,0.000,0.000,0.000
4607,1776.996,357.503,357.503,314.154,132.587,0.539,309.513,0.000,4.102,0.000,0.000,0.000,0.000
4608,1777.415,357.701,357.701,314.023,132.439,0.523,309.384,0.000,4.116,0.000,0.000,0.000,0.000
4609,1777.834,337.475,337.475,313.893,132.291,0.508,309.256,0.000,4.129,0.000,0.000,0.000,0.000
4610,1778.253,321.204,321.204,313.763,132.142,0.493,309.127,0.000,4.143,0.000,0.000,0.000,0.000
4611,1778.672,350.419,350.419,313.634,131.994,0.479,308.999,0.000,4.156,0.000,0.000,0.000,0.000
4612,1779.091,326.533,326.533,313.505,131.846,0.465,308.870,0.000,4.170,0.000,0.000,0.000,0.000
4613,1779.510,307.426,307.426,313.376,131.698,0.452,308.741,0.000,4.183,0.000,0.000,0.000,0.000
4614,1779.929,363.774,363.774,313.248,131.549,0.439,308.613,0.000,4.196,0.000,0.000,0.000,0.000
4615,1780.347,356.438,356.438,313.119,131.401,0.426,308.484,0.000,4.209,0.000,0.000,0.000,0.000
4616,1780.766,350.364,350.364,312.992,131.253,0.413,308.356,0.000,4.222,0.000,0.000,0.000,0.000
4617,1781.185,318.389,318.389,312.864,131.105,0.401,308.227,0.000,4.235,0.000,0.000,0.000,0.000
4618,1781.604,341.870,341.870,312.736,130.956,0.389,308.099,0.000,4.248,0.000,0.000,0.000,0.000
4619,1782.023,360.821,360.821,312.609,130.808,0.378,307.970,0.000,4.261,0.000,0.000,0.000,0.000
4620,1782.442,335.205,335.205,312.482,130.660,0.367,307.841,0.000,4.274,0.000,0.000,0.000,0.000
4621,1782.861,332.288,332.288,312.355,130.512,0.356,307.713,0.000,4.286,0.000,0.000,0.000,0.000
4622,1783.279,331.069,331.069,312.228,130.363,0.345,307.584,0.000,4.298,0.000,0.000,0.000,0.000
4623,1783.698,367.261,367.261,312.101,130.215,0.335,307.455,0.000,4.311,0.000,0.000,0.000,0.000
4624,1784.117,364.221,364.221,311.975,130.067,0.325,307.327,0.000,4.323,0.000,0.000,0.000,0.000
4625,1784.536,338.581,338.581,311.848,129.918,0.315,307.198,0.000,4.335,0.000,0.000,0.000,0.000
4626,1784.955,325.835,325.835,311.722,129.770,0.306,307.070,0.000,4.346,0.000,0.000,0.000,0.000
4627,1785.374,386.574,386.574,311.596,129.622,0.297,306.941,0.000,4.358,0.000,0.000,0.000,0.000
4628,1785.792,351.240,351.240,311.470,129.474,0.288,306.812,0.000,4.369,0.000,0.000,0.000,0.000
4629,1786.211,370.462,370.462,311.344,129.325,0.279,306.684,0.000,4.381,0.000,0.000,0.000,0.000
4630,1786.630,349.419,349.419,311.218,129.177,0.271,306.555,0.000,4.392,0.000,0.000,0.000,0.000
4631,1787.049,364.545,364.545,311.092,129.029,0.263,306.426,0.000,4.403,0.000,0.000,0.000,0.000
4632,1787.468,358.167,358.167,310.966,128.881,0.255,306.297,0.000,4.413,0.000,0.000,0.000,0.000
4633,1787.886,392.000,392.000,310.840,128.732,0.247,306.169,0.000,4.424,0.000,0.000,0.000,0.000
4634,1788.305,366.690,366.690,310.714,128.584,0.239,306.040,0.000,4.434,0.000,0.000,0.000,0.000
4635,1788.724,343.053,343.053,310.588,128.436,0.232,305.911,0.000,4.444,0.000,0.000,0.000,0.000
4636,1789.143,353.391,353.391,310.462,128.287,0.225,305.782,0.000,4.454,0.000,0.000,0.000,0.000
4637,1789.562,340.006,340.006,310.336,128.139,0.218,305.654,0.000,4.464,0.000,0.000,0.000,0.000
4638,1789.980,380.312,380.312,310.210,127.991,0.211,305.525,0.000,4.474,0.000,0.000,0.000,0.000
4639,1790.399,366.387,366.387,310.084,127.843,0.205,305.396,0.000,4.483,0.000,0.000,0.000,0.000
4640,1790.818,347.398,347.398,309.958,127.694,0.199,305.267,0.000,4.492,0.000,0.000,0.000,0.000
4641,1791.236,381.656,381.656,309.831,127.546,0.192,305.138,0.000,4.501,0.000,0.000,0.000,0.000
4642,1791.655,354.655,354.655,309.705,127.398,0.186,305.009,0.000,4.509,0.000,0.000,0.000,0.000
4643,1792.074,384.450,384.450,309.579,127.250,0.181,304.880,0.000,4.518,0.000,0.000,0.000,0.000
4644,1792.493,339.890,339.890,309.452,127.101,0.175,304.751,0.000,4.526,0.000,0.000,0.000,0.000
4645,1792.911,348.131,348.131,309.326,126.953,0.170,304.623,0.000,4.534,0.000,0.000,0.000,0.000
4646,1793.330,377.589,377.589,309.199,126.805,0.164,304.494,0.000,4.541,0.000,0.000,0.000,0.000
4647,1793.749,385.958,385.958,309.072,126.657,0.159,304.364,0.000,4.548,0.000,0.000,0.000,0.000
4648,1794.167,378.513,378.513,308.945,126.508,0.154,304.235,0.000,4.556,0.000,0.000,0.000,0.000
4649,1794.586,372.081,372.081,308.818,126.360,0.149,304.106,0.000,4.562,0.000,0.000,0.000,0.000
4650,1795.005,374.011,374.011,308.691,126.212,0.145,303.977,0.000,4.569,0.000,0.000,0.000,0.000
4651,1795.423,386.266,386.266,308.563,126.063,0.140,303.848,0.000,4.575,0.000,0.000,0.000,0.000
4652,1795.842,364.871,364.871,308.436,125.915,0.136,303.719,0.000,4.581,0.000,0.000,0.000,0.000
4653,1796.261,353.658,353.658,308.308,125.767,0.131,303.590,0.000,4.587,0.000,0.000,0.000,0.000
4654,1796.679,367.740,367.740,308.180,125.619,0.127,303.460,0.000,4.593,0.000,0.000,0.000,0.000
4655,1797.098,335.520,335.520,308.052,125.470,0.123,303.331,0.000,4.598,0.000,0.000,0.000,0.000
4656,1797.517,373.083,373.083,307.924,125.322,0.119,303.202,0.000,4.603,0.000,0.000,0.000,0.000
4657,1797.935,378.527,378.527,307.795,125.174,0.115,303.072,0.000,4.608,0.000,0.000,0.000,0.000
4658,1798.354,351.924,351.924,307.667,125.026,0.112,302.943,0.000,4.612,0.000,0.000,0.000,0.000
4659,1798.773,365.162,365.162,307.538,124.877,0.108,302.814,0.000,4.616,0.000,0.000,0.000,0.000
4660,1799.191,388.243,388.243,307.408,124.729,0.105,302.684,0.000,4.620,0.000,0.000,0.000,0.000
