coal_e10     41.51   17.847  10.854 |    30306 ( 201)    14467 ( 155)    15407 ( 153)    13323 ( 140)    18293 ( 159)    12086 ( 133)     2227 (  72)     4062 (  95)     2868 (  74)     1500 (  66)     1831 (  55)      570 (  38)      263 (  32)
coal_e11     45.51   17.578  10.585 |    29541 ( 199)    13973 ( 154)    15029 ( 152)    13121 ( 139)    17781 ( 157)    12066 ( 133)     2190 (  71)     3706 (  93)     2779 (  73)     1480 (  65)     1767 (  54)      580 (  39)      336 (  34)
coal_e12     49.52   17.512  10.518 |    29180 ( 199)    14030 ( 154)    15045 ( 152)    12969 ( 138)    17602 ( 157)    11884 ( 132)     2151 (  71)     3922 (  94)     2742 (  73)     1403 (  65)     1740 (  54)      592 (  39)      277 (  33)
coal_e13     53.52   17.127  10.134 |    28376 ( 197)    13571 ( 152)    14558 ( 151)    12184 ( 135)    16987 ( 155)    11425 ( 130)     2104 (  71)     3696 (  93)     2764 (  73)     1348 (  64)     1722 (  54)      590 (  39)      312 (  33)
coal_e14     57.52   17.017  10.024 |    28133 ( 196)    13124 ( 151)    14228 ( 150)    11952 ( 135)    16916 ( 155)    11316 ( 130)     2114 (  71)     3641 (  93)     2578 (  72)     1430 (  65)     1672 (  53)      572 (  38)      315 (  33)
coal_e15     61.52   16.797   9.804 |    27839 ( 195)    12750 ( 150)    14108 ( 149)    11911 ( 134)    16171 ( 152)    10802 ( 128)     1978 (  70)     3610 (  92)     2546 (  72)     1397 (  65)     1651 (  53)      633 (  39)      290 (  33)
coal_e16     65.52   16.587   9.593 |    27263 ( 194)    12455 ( 149)    13756 ( 148)    11676 ( 134)    15826 ( 151)    10771 ( 128)     2016 (  70)     3603 (  92)     2389 (  71)     1310 (  64)     1633 (  53)      490 (  37)      283 (  33)
coal_e17     69.53   16.438   9.444 |    26728 ( 192)    12416 ( 149)    13606 ( 147)    11352 ( 132)    15415 ( 150)    10656 ( 127)     1968 (  70)     3585 (  92)     2357 (  70)     1369 (  65)     1583 (  53)      573 (  39)      267 (  32)
coal_e18     73.53   16.246   9.253 |    26211 ( 191)    12361 ( 148)    13221 ( 146)    11059 ( 131)    14927 ( 148)    10412 ( 126)     1966 (  70)     3489 (  92)     2411 (  71)     1289 (  64)     1535 (  52)      540 (  38)      234 (  32)
coal_e19     77.53   16.088   9.094 |    26021 ( 190)    12055 ( 147)    13194 ( 146)    10678 ( 130)    14787 ( 148)    10058 ( 125)     1943 (  70)     3420 (  91)     2281 (  70)     1264 (  64)     1517 (  52)      554 (  38)      320 (  33)
coal_e20     81.54   15.790   8.796 |    25152 ( 188)    11369 ( 145)    12610 ( 144)    10533 ( 129)    14307 ( 146)     9859 ( 124)     1758 (  68)     3185 (  90)     2218 (  69)     1256 (  64)     1500 (  52)      453 (  37)      312 (  33)
coal_e21     85.54   15.667   8.674 |    24723 ( 187)    11442 ( 145)    12681 ( 144)    10218 ( 128)    14119 ( 145)     9639 ( 123)     1780 (  68)     3568 (  92)     2242 (  69)     1261 (  64)     1487 (  52)      494 (  37)      321 (  33)
coal_e22     89.54   15.544   8.551 |    24211 ( 186)    11438 ( 145)    12474 ( 144)    10098 ( 128)    13740 ( 144)     9574 ( 123)     1900 (  69)     3193 (  90)     2219 (  69)     1334 (  64)     1400 (  51)      445 (  37)      321 (  33)
coal_e23     93.54   15.345   8.351 |    24115 ( 185)    11005 ( 144)    12118 ( 142)    10112 ( 128)    13435 ( 143)     9278 ( 122)     1800 (  69)     3245 (  90)     2066 (  68)     1127 (  63)     1309 (  50)      437 (  37)      285 (  33)
coal_e24     97.55   15.206   8.213 |    23713 ( 184)    10882 ( 143)    12298 ( 143)     9521 ( 125)    13071 ( 142)     9281 ( 122)     1833 (  69)     3237 (  90)     2050 (  68)     1226 (  63)     1315 (  50)      421 (  36)      335 (  34)
coal_e25    101.55   15.057   8.064 |    23308 ( 183)    10713 ( 143)    12016 ( 142)     9351 ( 125)    12930 ( 141)     8882 ( 120)     1609 (  67)     3072 (  89)     2066 (  68)     1160 (  63)     1326 (  50)      460 (  37)      289 (  33)
coal_e26    105.55   14.881   7.887 |    22840 ( 182)    10504 ( 142)    11789 ( 141)     9452 ( 125)    12755 ( 140)     8604 ( 119)     1678 (  68)     2845 (  88)     1884 (  67)     1105 (  63)     1271 (  49)      460 (  37)      254 (  32)
coal_e27    109.55   14.830   7.837 |    22579 ( 181)    10299 ( 141)    11529 ( 140)     9055 ( 123)    12763 ( 140)     8733 ( 120)     1714 (  68)     3077 (  89)     1852 (  67)     1147 (  63)     1211 (  49)      425 (  37)      292 (  33)
coal_e28    113.56   14.635   7.641 |    21971 ( 179)    10101 ( 141)    11391 ( 140)     8951 ( 123)    11982 ( 138)     8424 ( 118)     1701 (  68)     3142 (  90)     1870 (  67)     1058 (  62)     1204 (  49)      492 (  37)      290 (  33)
coal_e29    117.56   14.530   7.536 |    21782 ( 179)     9911 ( 140)    11200 ( 139)     8871 ( 123)    11640 ( 136)     8178 ( 117)     1674 (  68)     3073 (  89)     1761 (  66)     1098 (  62)     1198 (  49)      473 (  37)      288 (  33)
coal_e30    121.56   14.399   7.405 |    21275 ( 178)     9828 ( 140)    11124 ( 139)     8513 ( 121)    12039 ( 138)     8020 ( 117)     1566 (  67)     2822 (  88)     1700 (  65)     1110 (  63)     1136 (  48)      409 (  36)      305 (  33)
coal_t20m     0.54   22.350  15.356 |     4294 (  73)     2178 (  56)     2171 (  55)     1959 (  51)     2737 (  59)     1822 (  49)      330 (  25)      547 (  32)      361 (  25)      239 (  23)      259 (  19)       77 (  13)       33 (  11)
coal_t2h      1.92   20.933  13.939 |     9388 ( 109)     4429 (  82)     4591 (  81)     4225 (  75)     5826 (  87)     3915 (  72)      633 (  36)     1157 (  48)      882 (  39)      482 (  34)      556 (  29)      207 (  21)       64 (  16)
coal_t3h      2.93   20.424  13.431 |     9301 ( 109)     4408 (  82)     4716 (  82)     4241 (  76)     5720 (  86)     3874 (  72)      669 (  37)     1175 (  49)      874 (  39)      456 (  34)      616 (  30)      183 (  20)       30 (  15)
