key,t_mid_h,live_s,cps_total,cps_net_total,40-100_net,40-100_sig,160-215 (186)_net,160-215 (186)_sig,215-265 (239/242)_net,215-265 (239/242)_sig,270-320 (295)_net,270-320 (295)_sig,320-390 (352)_net,320-390 (352)_sig,555-660 (583/609)_net,555-660 (583/609)_sig,690-760 (727)_net,690-760 (727)_sig,860-1010 (911/969)_net,860-1010 (911/969)_sig,1070-1170 (1120)_net,1070-1170 (1120)_sig,1400-1520 (1461)_net,1400-1520 (1461)_sig,1690-1850 (1764)_net,1690-1850 (1764)_sig,2100-2300 (2204)_net,2100-2300 (2204)_sig,2500-2750 (2614)_net,2500-2750 (2614)_sig,rate_609_net,rate_609_err,rate_352_net,rate_352_err
coal_e17,69.5274,14400.0,16.4376,9.4442,26728.1,192.3,12416.0,148.5,13606.2,147.4,11351.9,132.4,15415.5,149.6,10656.1,127.4,1968.3,69.9,3584.9,92.3,2356.5,70.3,1369.3,64.6,1583.0,52.5,572.6,38.5,267.3,32.5,0.740009,0.008850,1.070517,0.010391
coal_e18,73.5301,14400.0,16.2462,9.2527,26211.1,190.9,12361.0,148.4,13220.7,146.1,11059.4,131.3,14927.1,148.0,10411.8,126.5,1965.8,69.8,3488.9,91.8,2410.8,70.7,1289.2,64.0,1534.8,52.1,540.3,38.1,234.1,32.0,0.723043,0.008784,1.036605,0.010277
coal_e19,77.5326,14400.0,16.0877,9.0943,26021.0,190.4,12054.8,147.3,13194.2,146.0,10677.5,129.8,14786.6,147.5,10057.6,125.1,1943.1,69.7,3419.9,91.4,2281.1,69.8,1263.9,63.8,1517.1,51.9,554.2,38.3,320.3,33.3,0.698448,0.008686,1.026848,0.010244
coal_e20,81.5351,14400.0,15.7895,8.7961,25151.8,188.1,11369.4,145.0,12610.3,144.0,10533.0,129.2,14306.7,145.9,9858.5,124.3,1757.5,68.3,3185.2,90.1,2218.3,69.3,1256.0,63.7,1499.9,51.7,453.4,36.9,311.9,33.2,0.684621,0.008630,0.993521,0.010130
coal_e21,85.5376,14400.0,15.6672,8.6738,24723.1,187.0,11442.5,145.2,12680.9,144.3,10217.5,128.0,14118.8,145.2,9639.5,123.4,1780.0,68.5,3568.2,92.2,2242.3,69.5,1261.3,63.7,1487.4,51.6,493.6,37.5,321.3,33.3,0.669409,0.008569,0.980475,0.010085
coal_e22,89.5403,14400.0,15.5442,8.5508,24210.5,185.6,11437.5,145.2,12473.5,143.5,10098.2,127.5,13739.8,143.9,9574.4,123.1,1899.6,69.4,3193.2,90.1,2219.4,69.3,1333.5,64.3,1400.4,50.8,445.0,36.8,321.5,33.3,0.664886,0.008551,0.954151,0.009994
coal_e23,93.5429,14400.0,15.3448,8.3513,24114.9,185.4,11005.1,143.7,12117.6,142.3,10111.6,127.6,13434.9,142.9,9277.7,121.9,1799.6,68.6,3244.7,90.4,2066.2,68.2,1126.9,62.7,1309.3,49.8,436.7,36.7,285.3,32.8,0.644282,0.008467,0.932976,0.009920
coal_e24,97.5455,14400.0,15.2061,8.2127,23713.3,184.3,10881.6,143.3,12298.4,142.9,9520.8,125.3,13071.1,141.6,9280.6,121.9,1833.5,68.9,3236.9,90.4,2049.6,68.1,1225.9,63.5,1315.4,49.9,421.3,36.5,334.7,33.5,0.644485,0.008467,0.907716,0.009832
coal_e25,101.5480,14400.0,15.0572,8.0638,23308.0,183.2,10713.4,142.7,12016.2,141.9,9350.5,124.6,12929.9,141.1,8881.5,120.3,1608.7,67.2,3072.1,89.5,2065.7,68.2,1159.6,62.9,1325.9,50.0,460.3,37.0,289.3,32.8,0.616773,0.008353,0.897912,0.009797
coal_e26,105.5504,14400.0,14.8808,7.8873,22839.5,181.9,10504.1,142.0,11788.9,141.1,9452.0,125.0,12755.4,140.5,8603.9,119.1,1678.5,67.8,2845.3,88.2,1884.5,66.9,1105.2,62.5,1270.7,49.5,460.1,37.0,253.9,32.3,0.597493,0.008272,0.885790,0.009754
coal_e27,109.5529,14400.0,14.8302,7.8368,22578.5,181.2,10299.5,141.2,11528.5,140.2,9055.0,123.4,12763.4,140.5,8732.8,119.7,1714.0,68.0,3077.0,89.5,1852.0,66.6,1147.2,62.8,1211.5,48.9,425.0,36.5,292.4,32.9,0.606442,0.008310,0.886347,0.009756
coal_e28,113.5554,14400.0,14.6349,7.6414,21971.5,179.5,10100.8,140.5,11391.5,139.7,8951.5,123.0,11981.6,137.7,8423.8,118.4,1700.6,67.9,3142.4,89.8,1869.8,66.8,1057.6,62.1,1204.0,48.8,492.4,37.4,290.3,32.8,0.584987,0.008220,0.832052,0.009561
coal_e29,117.5579,14400.0,14.5299,7.5364,21782.1,179.0,9911.4,139.9,11200.2,139.0,8870.8,122.6,11639.5,136.4,8177.7,117.3,1674.3,67.7,3073.0,89.5,1761.4,65.9,1098.3,62.5,1198.0,48.7,473.3,37.2,287.8,32.8,0.567892,0.008147,0.808301,0.009474
coal_e30,121.5605,14400.0,14.3987,7.4053,21275.2,177.5,9828.2,139.6,11124.1,138.7,8512.8,121.2,12039.3,137.9,8020.0,116.6,1565.6,66.9,2822.2,88.0,1700.2,65.5,1110.2,62.5,1135.7,48.1,408.9,36.3,305.2,33.1,0.556948,0.008100,0.836061,0.009575
coal_t20m,0.5392,1481.5,22.3496,15.3562,4293.8,72.9,2177.7,56.0,2170.7,54.6,1959.1,50.7,2737.0,58.6,1821.7,48.8,330.2,24.9,546.6,32.2,360.8,24.9,239.2,22.8,259.2,19.4,77.5,13.0,32.6,10.6,1.229691,0.032927,1.847507,0.039551
coal_t2h,1.9182,3529.1,20.9328,13.9394,9388.1,108.8,4429.1,82.1,4590.8,80.8,4225.4,75.5,5826.1,86.6,3915.2,72.5,632.9,36.5,1156.7,48.3,881.7,38.7,481.7,33.9,555.6,28.9,207.3,20.6,63.7,15.9,1.109412,0.020532,1.650897,0.024527
coal_t3h,2.9274,3600.0,20.4244,13.4310,9301.0,108.6,4407.9,82.2,4716.0,81.8,4240.8,75.8,5720.4,86.1,3874.5,72.4,669.4,37.1,1175.3,48.8,874.5,38.8,456.1,33.8,616.5,30.1,182.8,20.1,29.8,14.9,1.076246,0.020101,1.589010,0.023928
