spectrum,part,component,share_a,share_b,delta,grey_below_a,grey_pct_a,grey_pct_b,tail_b
G1S16_Mn54_P5,known,Mn-54,92.805,99.933,+7.128,45963.0,7.195,0.067,30750.5
G1S16_Na22_P25,known,Ann-511,64.813,70.102,+5.289,105971.7,7.371,0.000,
G1S16_Na22_P25,known,Na-22,27.816,29.897,+2.081,105971.7,7.371,0.000,
G1S16_Na22_P5,known,Ann-511,67.671,72.549,+4.878,332700.4,6.552,0.006,
G1S16_Na22_P5,known,Na-22,25.777,27.445,+1.668,332700.4,6.552,0.006,
G1S16_Th228_P25,known,Bi-212,7.761,8.158,+0.397,3713.7,6.154,0.000,
G1S16_Th228_P25,known,Pb-212,43.302,46.350,+3.048,3713.7,6.154,0.000,
G1S16_Th228_P25,known,Ra-224,2.546,2.730,+0.184,3713.7,6.154,0.000,
G1S16_Th228_P25,known,Rn-220,0.056,0.060,+0.004,3713.7,6.154,0.000,
G1S16_Th228_P25,known,Th-228,0.821,0.882,+0.061,3713.7,6.154,0.000,
G1S16_Th228_P25,known,Tl-208,39.359,41.819,+2.460,3713.7,6.154,0.000,
G1S16_Th228_P5,known,Bi-212,7.492,7.854,+0.362,20859.1,5.836,0.000,
G1S16_Th228_P5,known,Pb-212,47.447,50.528,+3.081,20859.1,5.836,0.000,
G1S16_Th228_P5,known,Ra-224,2.651,2.835,+0.184,20859.1,5.836,0.000,
G1S16_Th228_P5,known,Rn-220,0.050,0.054,+0.004,20859.1,5.836,0.000,
G1S16_Th228_P5,known,Th-228,0.966,1.030,+0.064,20859.1,5.836,0.000,
G1S16_Th228_P5,known,Tl-208,35.557,37.698,+2.141,20859.1,5.836,0.000,
G1S16_Y88_P5,known,Ann-511,1.511,1.594,+0.083,2846.4,5.656,0.000,
G1S16_Y88_P5,known,Y-88,92.833,98.406,+5.573,2846.4,5.656,0.000,348.1
G1S24_Am241_P5,known,Am-241,97.394,99.860,+2.466,80345.5,2.606,0.140,
G1S24_Ba133_P5,known,Ba-133,96.633,99.985,+3.352,280136.2,3.367,0.015,
G1S24_Bi207_P5,known,Ann-511,0.146,0.156,+0.010,960450.9,6.485,0.000,
G1S24_Bi207_P5,known,Bi-207,93.369,99.843,+6.474,960450.9,6.485,0.000,
G1S24_Cd109_P5,known,Cd-109,89.176,98.430,+9.254,4653.6,10.824,1.570,
G1S24_Co60_P5,known,Co-60,95.514,100.000,+4.486,232705.6,4.486,0.000,
G1S24_Cs137_P25,known,Cs-137,94.823,99.997,+5.174,49596.6,5.177,0.000,
G1S24_Cs137_P5,known,Cs-137,94.886,99.884,+4.998,260297.6,5.003,0.000,
G1S24_Cs137_P5,known,pile-up,0.111,0.116,+0.005,260297.6,5.003,0.000,
G1S24_Eu152_P5,known,Eu-152,95.528,99.993,+4.465,1987963.1,4.472,0.007,
G1S24_Na22_P25,known,Ann-511,64.334,69.740,+5.406,362430.7,7.581,0.000,
G1S24_Na22_P25,known,Na-22,28.086,30.260,+2.174,362430.7,7.581,0.000,
G1S24_Na22_P5,known,Ann-511,66.973,70.973,+4.000,1499284.9,5.470,0.000,
G1S24_Na22_P5,known,Na-22,27.036,28.485,+1.449,1499284.9,5.470,0.000,
G1S24_Na22_P5,known,pile-up,0.521,0.542,+0.021,1499284.9,5.470,0.000,
G1S24_Th228_P25,known,Bi-212,7.526,7.983,+0.457,114443.3,7.193,0.000,
G1S24_Th228_P25,known,Pb-212,42.285,45.803,+3.518,114443.3,7.193,0.000,
G1S24_Th228_P25,known,Ra-224,2.520,2.739,+0.219,114443.3,7.193,0.000,
G1S24_Th228_P25,known,Rn-220,0.056,0.060,+0.004,114443.3,7.193,0.000,
G1S24_Th228_P25,known,Th-228,0.789,0.859,+0.070,114443.3,7.193,0.000,
G1S24_Th228_P25,known,Tl-208,39.630,42.555,+2.925,114443.3,7.193,0.000,
G1S24_Th228_P5,known,Bi-212,7.409,7.764,+0.355,2156412.2,5.930,0.000,
G1S24_Th228_P5,known,Pb-212,47.728,50.871,+3.143,2156412.2,5.930,0.000,
G1S24_Th228_P5,known,Ra-224,2.661,2.848,+0.187,2156412.2,5.930,0.000,
G1S24_Th228_P5,known,Rn-220,0.050,0.053,+0.003,2156412.2,5.930,0.000,
G1S24_Th228_P5,known,Th-228,0.973,1.039,+0.066,2156412.2,5.930,0.000,
G1S24_Th228_P5,known,Tl-208,35.249,37.422,+2.173,2156412.2,5.930,0.000,
G1S24_Y88_P25,known,Ann-511,1.538,1.632,+0.094,27603.8,5.379,0.000,
G1S24_Y88_P25,known,Y-88,93.083,98.368,+5.285,27603.8,5.379,0.000,
G1S24_Y88_P5,known,Ann-511,1.290,1.362,+0.072,231753.4,5.827,0.000,
G1S24_Y88_P5,known,Y-88,92.883,98.638,+5.755,231753.4,5.827,0.000,33357.9
G1S24_Zn65_P5,known,Ann-511,7.327,7.716,+0.389,1522.0,5.222,0.211,
G1S24_Zn65_P5,known,Zn-65,87.452,92.073,+4.621,1522.0,5.222,0.211,34.7
свод: строк 84 у 42 спектров
