ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
3968,1509.491,632.732,632.732,442.123,179.648,133.480,287.922,0.000,20.721,0.000,0.000,0.000,0.000,0.000,0.000
3969,1509.908,618.423,618.423,442.279,179.511,133.598,287.878,0.000,20.803,0.000,0.000,0.000,0.000,0.000,0.000
3970,1510.324,631.428,631.428,442.432,179.373,133.713,287.834,0.000,20.885,0.000,0.000,0.000,0.000,0.000,0.000
3971,1510.741,565.705,565.705,442.584,179.236,133.824,287.792,0.000,20.968,0.000,0.000,0.000,0.000,0.000,0.000
3972,1511.157,575.272,575.272,442.735,179.098,133.933,287.751,0.000,21.051,0.000,0.000,0.000,0.000,0.000,0.000
3973,1511.574,564.720,564.720,442.884,178.961,134.038,287.712,0.000,21.134,0.000,0.000,0.000,0.000,0.000,0.000
3974,1511.991,605.554,605.554,443.031,178.823,134.141,287.674,0.000,21.217,0.000,0.000,0.000,0.000,0.000,0.000
3975,1512.407,569.757,569.757,443.177,178.686,134.241,287.637,0.000,21.300,0.000,0.000,0.000,0.000,0.000,0.000
3976,1512.824,582.212,582.212,443.321,178.548,134.338,287.601,0.000,21.383,0.000,0.000,0.000,0.000,0.000,0.000
3977,1513.240,623.204,623.204,443.464,178.411,134.432,287.567,0.000,21.466,0.000,0.000,0.000,0.000,0.000,0.000
3978,1513.657,542.567,542.567,443.606,178.273,134.523,287.534,0.000,21.549,0.000,0.000,0.000,0.000,0.000,0.000
3979,1514.073,625.028,625.028,443.746,178.136,134.611,287.503,0.000,21.633,0.000,0.000,0.000,0.000,0.000,0.000
3980,1514.490,593.301,593.301,443.885,177.998,134.697,287.473,0.000,21.716,0.000,0.000,0.000,0.000,0.000,0.000
3981,1514.907,572.673,572.673,444.023,177.861,134.780,287.444,0.000,21.799,0.000,0.000,0.000,0.000,0.000,0.000
3982,1515.323,613.247,613.247,444.160,177.723,134.860,287.417,0.000,21.882,0.000,0.000,0.000,0.000,0.000,0.000
3983,1515.740,597.688,597.688,444.295,177.586,134.938,287.391,0.000,21.966,0.000,0.000,0.000,0.000,0.000,0.000
3984,1516.157,561.192,561.192,444.430,177.448,135.013,287.367,0.000,22.049,0.000,0.000,0.000,0.000,0.000,0.000
3985,1516.573,571.852,571.852,444.563,177.311,135.086,287.345,0.000,22.132,0.000,0.000,0.000,0.000,0.000,0.000
3986,1516.990,529.739,529.739,444.695,177.173,135.156,287.324,0.000,22.215,0.000,0.000,0.000,0.000,0.000,0.000
3987,1517.407,556.454,556.454,444.827,177.036,135.224,287.305,0.000,22.298,0.000,0.000,0.000,0.000,0.000,0.000
3988,1517.824,617.585,617.585,444.958,176.898,135.289,287.288,0.000,22.381,0.000,0.000,0.000,0.000,0.000,0.000
3989,1518.240,576.509,576.509,445.087,176.761,135.352,287.272,0.000,22.464,0.000,0.000,0.000,0.000,0.000,0.000
3990,1518.657,560.741,560.741,445.217,176.623,135.413,287.258,0.000,22.546,0.000,0.000,0.000,0.000,0.000,0.000
3991,1519.074,584.037,584.037,445.345,176.486,135.471,287.245,0.000,22.629,0.000,0.000,0.000,0.000,0.000,0.000
3992,1519.491,581.255,581.255,445.473,176.348,135.528,287.235,0.000,22.711,0.000,0.000,0.000,0.000,0.000,0.000
3993,1519.907,572.413,572.413,445.601,176.211,135.582,287.226,0.000,22.793,0.000,0.000,0.000,0.000,0.000,0.000
3994,1520.324,555.937,555.937,445.728,176.073,135.634,287.219,0.000,22.875,0.000,0.000,0.000,0.000,0.000,0.000
3995,1520.741,560.606,560.606,445.855,175.936,135.685,287.214,0.000,22.957,0.000,0.000,0.000,0.000,0.000,0.000
3996,1521.158,580.571,580.571,445.981,175.798,135.733,287.210,0.000,23.038,0.000,0.000,0.000,0.000,0.000,0.000
3997,1521.575,592.166,592.166,446.108,175.661,135.780,287.209,0.000,23.119,0.000,0.000,0.000,0.000,0.000,0.000
3998,1521.991,602.104,602.104,446.234,175.523,135.825,287.209,0.000,23.200,0.000,0.000,0.000,0.000,0.000,0.000
3999,1522.408,563.220,563.220,446.360,175.386,135.868,287.212,0.000,23.281,0.000,0.000,0.000,0.000,0.000,0.000
4000,1522.825,529.639,529.639,446.487,175.248,135.909,287.216,0.000,23.361,0.000,0.000,0.000,0.000,0.000,0.000
