ch,keV,net,fit,model,continuum_raw,Lu-176,continuum
127,38.628,0.000,-403.365,199.577,2.246,199.577,0.000
128,38.992,0.000,-413.635,213.602,4.493,213.602,0.000
129,39.357,0.000,-408.212,228.861,6.739,228.861,0.000
130,39.722,0.000,-386.625,245.617,8.986,245.617,0.000
131,40.086,0.000,-359.684,264.145,11.232,264.145,0.000
132,40.451,0.000,-362.127,284.730,13.479,284.730,0.000
133,40.816,0.000,-323.705,307.662,15.725,307.662,0.000
134,41.180,0.000,-320.792,333.229,17.971,333.229,0.000
135,41.545,0.000,-347.026,361.709,20.218,361.709,0.000
136,41.910,0.000,-330.560,393.364,22.464,393.364,0.000
137,42.274,0.000,-337.868,428.428,24.711,428.428,0.000
138,42.639,0.000,-270.975,467.100,26.957,467.100,0.000
139,43.004,0.000,-222.241,509.528,29.204,509.528,0.000
140,43.368,0.000,-212.811,555.801,31.450,555.801,0.000
141,43.733,0.000,-181.634,605.937,33.696,605.937,0.000
142,44.098,0.000,-187.502,659.871,35.943,659.871,0.000
143,44.462,0.000,-95.175,717.445,38.189,717.445,0.000
144,44.827,0.000,-76.451,778.402,40.436,778.402,0.000
145,45.192,0.000,-18.187,842.381,42.682,842.381,0.000
146,45.557,18.608,18.608,908.908,44.928,908.908,0.000
147,45.921,135.376,135.376,977.408,47.175,977.408,0.000
148,46.286,159.613,159.613,1047.202,49.421,1047.202,0.000
149,46.651,202.999,202.999,1117.517,51.668,1117.517,0.000
150,47.016,281.225,281.225,1187.504,53.914,1187.504,0.000
151,47.380,388.539,388.539,1256.251,56.161,1256.251,0.000
152,47.745,411.862,411.862,1322.806,58.407,1322.806,0.000
153,48.110,531.995,531.995,1386.202,60.653,1386.202,0.000
154,48.475,602.819,602.819,1445.481,62.900,1445.481,0.000
155,48.840,680.013,680.013,1499.725,65.146,1499.725,0.000
156,49.204,822.726,822.726,1548.083,67.393,1548.083,0.000
157,49.569,898.576,898.576,1589.800,69.639,1589.800,0.000
158,49.934,939.138,939.138,1624.239,71.886,1624.239,0.000
159,50.299,1037.026,1037.026,1650.905,74.132,1650.905,0.000
160,50.664,1097.134,1097.134,1669.463,76.378,1669.463,0.000
161,51.029,1115.846,1115.846,1679.751,78.625,1679.751,0.000
162,51.393,1180.921,1180.921,1681.780,80.871,1681.780,0.000
163,51.758,1165.418,1165.418,1675.743,83.118,1675.743,0.000
164,52.123,1237.118,1237.118,1661.998,85.364,1661.998,0.000
165,52.488,1142.034,1142.034,1641.062,87.611,1641.062,0.000
166,52.853,1063.479,1063.479,1613.586,89.857,1613.586,0.000
167,53.218,1030.491,1030.491,1580.334,92.103,1580.334,0.000
168,53.583,1033.655,1033.655,1542.154,94.350,1542.154,0.000
169,53.948,1044.272,1044.272,1499.945,96.596,1499.945,0.000
170,54.313,996.727,996.727,1454.629,98.843,1454.629,0.000
