спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S24_Ra226_Mar              known        2.4631     2.4658   +0.110  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Ra226_Mar_2            known        5.0324     5.0323   -0.002  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Ra226_Petri            known        1.5061     1.5070   +0.060  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Ra226_Petri_2          known        2.9638     2.9684   +0.155  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Rn222Coal_Mar_20m      known        1.1141     1.1141   +0.000  anchor_note, anchor_offset_kev, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Rn222Coal_Mar_2h       known        1.3656     1.3657   +0.007  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Rn222Coal_Mar_3h       known        1.3112     1.3114   +0.015  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Rn222Coal_Mar_eq01     known        1.9080     1.9084   +0.021  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th228_P25              known        4.3834     4.3834   +0.000  mda_peak_counts, peak_counts
G1S24_Th228_P5               known       20.7064    20.7168   +0.050  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Th232_Denta120         known        1.1388     1.1394   +0.053  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ac-228 36.09→36.18; Tl-208 23.45→23.35
G1S24_Th232_Denta120_2       known        2.0734     2.0736   +0.010  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ac-228 38.82→38.89; Tl-208 26.11→26.03
G1S24_Th232_Mar              known        2.6692     2.6765   +0.273  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ac-228 37.41→37.46; Tl-208 25.46→25.41
G1S24_Th232_Mar_2            known        6.2330     6.2285   -0.072  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Petri            known        1.9759     1.9969   +1.063  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 36.08→36.19; Tl-208 23.92→23.81
G1S24_Th232_Petri_2          known        4.5797     4.6269   +1.031  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 37.88→37.97; Tl-208 25.32→25.22
G1S24_Y88_P5                 known        8.1995     8.1996   +0.001  chi2ndf, chi2ndf_pois

known: разобранных 89, Σχ²/ndf 464.4360 -> 464.6883 (+0.0543 %)
сдвинулось 43, побитово 46
побитово: AS80_Am241, AS80_Cs137_0cm, G1S16_Am241_P25, G1S16_Am241_P5, G1S16_Cd109_P25, G1S16_Cd109_P5, G1S16_Ce139_P25, G1S16_Co57_P5, G1S16_Co60_P25, G1S16_Co60_P5, G1S16_Cs137_Mar, G1S16_Cs137_Mar_2, G1S16_Cs137_P25, G1S16_Cs137_P5, G1S16_K40_Mar, G1S16_K40_Mar_2, G1S16_Mn54_P25, G1S16_Mn54_P5, G1S16_Na22_P25, G1S16_Na22_P5, G1S16_Y88_P25, G1S16_Y88_P5, G1S24_Am241_P5, G1S24_Cd109_P5, G1S24_Co60_P5, G1S24_Cs137_Denta120, G1S24_Cs137_Denta120_2, G1S24_Cs137_Mar, G1S24_Cs137_Mar_2, G1S24_Cs137_P25, G1S24_Cs137_P5, G1S24_Cs137_Petri, G1S24_Cs137_Petri_2, G1S24_K40_Denta120, G1S24_K40_Denta120_2, G1S24_K40_Mar, G1S24_K40_Mar_2, G1S24_K40_Petri, G1S24_K40_Petri_2, G1S24_Na22_P25, G1S24_Na22_P5, G1S24_Y88_P25, G1S24_Zn65_P5, RC103_Cs137_0cm, RC103_K40, RC103_Lu176
